open_time,open,high,low,close,close_time,number_of_trades
2017-11-06,1.5,1.799,0.5,1.571,2017-11-06 23:59:59.999,918
2017-11-07,1.571,1.8,1.5389,1.8,2017-11-07 23:59:59.999,851
2017-11-08,1.7901,1.99,1.7479,1.9889,2017-11-08 23:59:59.999,2124
2017-11-09,1.9781,2.1997,1.9,1.99,2017-11-09 23:59:59.999,1332
2017-11-10,1.99,2.02,1.6019,1.7133,2017-11-10 23:59:59.999,1761
2017-11-11,1.79,1.925,1.58,1.655,2017-11-11 23:59:59.999,1223
2017-11-12,1.6567,1.7,1.34,1.49,2017-11-12 23:59:59.999,1783
2017-11-13,1.5,1.7381,1.5,1.68,2017-11-13 23:59:59.999,1296
2017-11-14,1.6801,1.7381,1.5321,1.5911,2017-11-14 23:59:59.999,1112
2017-11-15,1.5721,1.6794,1.49,1.5532,2017-11-15 23:59:59.999,1625
2017-11-16,1.5533,1.6699,1.511,1.5599,2017-11-16 23:59:59.999,1392
2017-11-17,1.5599,1.5765,1.49,1.5041,2017-11-17 23:59:59.999,1372
2017-11-18,1.5041,1.6699,1.492,1.6699,2017-11-18 23:59:59.999,914
2017-11-19,1.6524,1.6948,1.575,1.6,2017-11-19 23:59:59.999,969
2017-11-20,1.6,1.6522,1.5605,1.64,2017-11-20 23:59:59.999,867
2017-11-21,1.6257,1.6419,1.54,1.5874,2017-11-21 23:59:59.999,1362
2017-11-22,1.5728,1.6211,1.5556,1.6158,2017-11-22 23:59:59.999,987
2017-11-23,1.6,1.618,1.5388,1.57,2017-11-23 23:59:59.999,1076
2017-11-24,1.5644,1.8187,1.54,1.7292,2017-11-24 23:59:59.999,2913
2017-11-25,1.712,1.9588,1.68,1.87,2017-11-25 23:59:59.999,2082
2017-11-26,1.85,1.91,1.76,1.8388,2017-11-26 23:59:59.999,1158
2017-11-27,1.8388,1.9532,1.74,1.9532,2017-11-27 23:59:59.999,2144
2017-11-28,1.945,1.9532,1.801,1.9249,2017-11-28 23:59:59.999,1245
2017-11-29,1.9248,2.0486,1.55,1.7565,2017-11-29 23:59:59.999,5050
2017-11-30,1.7641,2.038,1.71,1.95,2017-11-30 23:59:59.999,3988
2017-12-01,1.95,2.1385,1.8801,2.0527,2017-12-01 23:59:59.999,2307
2017-12-02,2.0526,2.1199,1.975,2.0797,2017-12-02 23:59:59.999,1776
2017-12-03,2.0797,2.4,2.0438,2.2617,2017-12-03 23:59:59.999,3928
2017-12-04,2.2617,2.5898,2.2617,2.55,2017-12-04 23:59:59.999,4076
2017-12-05,2.5305,2.75,2.5,2.612,2017-12-05 23:59:59.999,3479
2017-12-06,2.6,2.8,2.3272,2.5134,2017-12-06 23:59:59.999,3753
2017-12-07,2.5393,2.84,2.4001,2.6625,2017-12-07 23:59:59.999,4762
2017-12-08,2.6489,2.8,2.206,2.79,2017-12-08 23:59:59.999,7144
2017-12-09,2.789,2.81,2.1777,2.65,2017-12-09 23:59:59.999,5654
2017-12-10,2.65,2.6648,2.1315,2.4619,2017-12-10 23:59:59.999,5762
2017-12-11,2.4616,2.78,2.4505,2.687,2017-12-11 23:59:59.999,4051
2017-12-12,2.687,2.7397,2.4545,2.5547,2017-12-12 23:59:59.999,5319
2017-12-13,2.5547,2.74,2.265,2.719,2017-12-13 23:59:59.999,7201
2017-12-14,2.7194,3.1521,2.6981,3.1519,2017-12-14 23:59:59.999,7170
2017-12-15,3.1518,4.399,2.99,4.12,2017-12-15 23:59:59.999,8392
2017-12-16,4.16,4.7201,3.8172,4.6378,2017-12-16 23:59:59.999,8242
2017-12-17,4.63,6.7,4.596,5.999,2017-12-17 23:59:59.999,18354
2017-12-18,5.999,6.1,4.75,6.0,2017-12-18 23:59:59.999,15041
2017-12-19,5.98,6.463,5.2725,5.6999,2017-12-19 23:59:59.999,18851
2017-12-20,5.69,5.7,4.68,5.1502,2017-12-20 23:59:59.999,14265
2017-12-21,5.1819,5.6899,4.42,5.1596,2017-12-21 23:59:59.999,11172
2017-12-22,5.1596,5.1996,3.25,4.2912,2017-12-22 23:59:59.999,17670
2017-12-23,4.2912,4.998,4.17,4.4,2017-12-23 23:59:59.999,16774
2017-12-24,4.4,5.2,3.8,5.181,2017-12-24 23:59:59.999,46818
2017-12-25,5.1899,6.88,5.029,6.4631,2017-12-25 23:59:59.999,36765
2017-12-26,6.4631,10.793,6.35,9.254,2017-12-26 23:59:59.999,72074
2017-12-27,9.2861,11.3,8.2605,10.0731,2017-12-27 23:59:59.999,64300
2017-12-28,10.07,10.25,7.8,9.25,2017-12-28 23:59:59.999,165192
2017-12-29,9.28,9.802,8.39,8.7094,2017-12-29 23:59:59.999,30865
2017-12-30,8.6808,8.7094,6.9301,7.5947,2017-12-30 23:59:59.999,32178
2017-12-31,7.5783,8.798,7.5175,8.53,2017-12-31 23:59:59.999,31704
2018-01-01,8.5478,8.7,7.8,8.45,2018-01-01 23:59:59.999,20279
