open_time,open,high,low,close,close_time,number_of_trades
2017-11-06 00:00:00,1.5,1.799,0.5,1.5458,2017-11-06 05:59:59.999,199
2017-11-06 06:00:00,1.5458,1.681,1.5387,1.6288,2017-11-06 11:59:59.999,338
2017-11-06 12:00:00,1.6288,1.631,1.5645,1.5829,2017-11-06 17:59:59.999,242
2017-11-06 18:00:00,1.5868,1.6028,1.55,1.571,2017-11-06 23:59:59.999,139
2017-11-07 00:00:00,1.571,1.6188,1.5389,1.602,2017-11-07 05:59:59.999,150
2017-11-07 06:00:00,1.59,1.6184,1.5548,1.5864,2017-11-07 11:59:59.999,71
2017-11-07 12:00:00,1.6183,1.799,1.5801,1.7704,2017-11-07 17:59:59.999,489
2017-11-07 18:00:00,1.7616,1.8,1.7196,1.8,2017-11-07 23:59:59.999,141
2017-11-08 00:00:00,1.7901,1.99,1.7479,1.87,2017-11-08 05:59:59.999,369
2017-11-08 06:00:00,1.8789,1.988,1.8235,1.8736,2017-11-08 11:59:59.999,648
2017-11-08 12:00:00,1.87,1.95,1.821,1.93,2017-11-08 17:59:59.999,392
2017-11-08 18:00:00,1.94,1.99,1.78,1.9889,2017-11-08 23:59:59.999,715
2017-11-09 00:00:00,1.9781,2.05,1.9,2.0,2017-11-09 05:59:59.999,280
2017-11-09 06:00:00,2.0,2.07,1.9704,2.0001,2017-11-09 11:59:59.999,364
2017-11-09 12:00:00,2.0599,2.1997,2.0118,2.11,2017-11-09 17:59:59.999,462
2017-11-09 18:00:00,2.1289,2.1302,1.9,1.99,2017-11-09 23:59:59.999,226
2017-11-10 00:00:00,1.99,2.02,1.895,1.93,2017-11-10 05:59:59.999,410
2017-11-10 06:00:00,1.9,2.0101,1.7998,1.7998,2017-11-10 11:59:59.999,456
2017-11-10 12:00:00,1.7998,1.89,1.6631,1.828,2017-11-10 17:59:59.999,558
2017-11-10 18:00:00,1.797,1.8799,1.6019,1.7133,2017-11-10 23:59:59.999,337
2017-11-11 00:00:00,1.79,1.925,1.79,1.837,2017-11-11 05:59:59.999,298
2017-11-11 06:00:00,1.838,1.8772,1.69,1.7304,2017-11-11 11:59:59.999,187
2017-11-11 12:00:00,1.7304,1.7304,1.58,1.67,2017-11-11 17:59:59.999,613
2017-11-11 18:00:00,1.65,1.7,1.623,1.655,2017-11-11 23:59:59.999,125
2017-11-12 00:00:00,1.6567,1.6567,1.47,1.49,2017-11-12 05:59:59.999,695
2017-11-12 06:00:00,1.4908,1.7,1.34,1.5851,2017-11-12 11:59:59.999,635
2017-11-12 12:00:00,1.6003,1.6792,1.53,1.531,2017-11-12 17:59:59.999,321
2017-11-12 18:00:00,1.59,1.62,1.45,1.49,2017-11-12 23:59:59.999,132
2017-11-13 00:00:00,1.5,1.65,1.5,1.5905,2017-11-13 05:59:59.999,219
2017-11-13 06:00:00,1.6387,1.7381,1.5908,1.71,2017-11-13 11:59:59.999,477
2017-11-13 12:00:00,1.7039,1.7097,1.634,1.634,2017-11-13 17:59:59.999,435
2017-11-13 18:00:00,1.6342,1.6893,1.6,1.68,2017-11-13 23:59:59.999,165
2017-11-14 00:00:00,1.6801,1.7381,1.65,1.6704,2017-11-14 05:59:59.999,251
2017-11-14 06:00:00,1.6705,1.6929,1.56,1.5898,2017-11-14 11:59:59.999,388
2017-11-14 12:00:00,1.5898,1.6277,1.5321,1.6001,2017-11-14 17:59:59.999,343
2017-11-14 18:00:00,1.6001,1.6181,1.5553,1.5911,2017-11-14 23:59:59.999,130
2017-11-15 00:00:00,1.5721,1.633,1.563,1.5934,2017-11-15 05:59:59.999,272
2017-11-15 06:00:00,1.5739,1.6794,1.555,1.5806,2017-11-15 11:59:59.999,435
2017-11-15 12:00:00,1.5806,1.5837,1.5,1.5002,2017-11-15 17:59:59.999,583
2017-11-15 18:00:00,1.5185,1.5678,1.49,1.5532,2017-11-15 23:59:59.999,335
2017-11-16 00:00:00,1.5533,1.6699,1.5499,1.6238,2017-11-16 05:59:59.999,456
2017-11-16 06:00:00,1.6239,1.6239,1.511,1.6,2017-11-16 11:59:59.999,417
2017-11-16 12:00:00,1.5811,1.6354,1.5455,1.6299,2017-11-16 17:59:59.999,321
2017-11-16 18:00:00,1.6299,1.6299,1.5594,1.5599,2017-11-16 23:59:59.999,198
2017-11-17 00:00:00,1.5599,1.5765,1.51,1.53,2017-11-17 05:59:59.999,424
2017-11-17 06:00:00,1.53,1.5399,1.49,1.5147,2017-11-17 11:59:59.999,472
2017-11-17 12:00:00,1.5147,1.5599,1.5,1.5003,2017-11-17 17:59:59.999,307
2017-11-17 18:00:00,1.5185,1.5555,1.4912,1.5041,2017-11-17 23:59:59.999,169
2017-11-18 00:00:00,1.5041,1.5899,1.492,1.563,2017-11-18 05:59:59.999,223
2017-11-18 06:00:00,1.563,1.5845,1.5327,1.55,2017-11-18 11:59:59.999,185
2017-11-18 12:00:00,1.56,1.6108,1.5494,1.6108,2017-11-18 17:59:59.999,256
2017-11-18 18:00:00,1.5929,1.6699,1.5929,1.6699,2017-11-18 23:59:59.999,250
2017-11-19 00:00:00,1.6524,1.6948,1.58,1.648,2017-11-19 05:59:59.999,311
2017-11-19 06:00:00,1.6478,1.676,1.635,1.6601,2017-11-19 11:59:59.999,223
2017-11-19 12:00:00,1.6601,1.6945,1.5924,1.6163,2017-11-19 17:59:59.999,234
2017-11-19 18:00:00,1.6163,1.65,1.575,1.6,2017-11-19 23:59:59.999,201
2017-11-20 00:00:00,1.6,1.6166,1.5605,1.595,2017-11-20 05:59:59.999,134
2017-11-20 06:00:00,1.595,1.6136,1.58,1.6,2017-11-20 11:59:59.999,211
2017-11-20 12:00:00,1.6,1.6488,1.59,1.6343,2017-11-20 17:59:59.999,384
2017-11-20 18:00:00,1.636,1.6522,1.6193,1.64,2017-11-20 23:59:59.999,138
2017-11-21 00:00:00,1.6257,1.6419,1.54,1.5909,2017-11-21 05:59:59.999,588
2017-11-21 06:00:00,1.5909,1.63,1.5689,1.6,2017-11-21 11:59:59.999,267
2017-11-21 12:00:00,1.5952,1.64,1.5801,1.6006,2017-11-21 17:59:59.999,321
2017-11-21 18:00:00,1.6167,1.6167,1.57,1.5874,2017-11-21 23:59:59.999,186
2017-11-22 00:00:00,1.5728,1.6115,1.5688,1.5929,2017-11-22 05:59:59.999,232
2017-11-22 06:00:00,1.5875,1.6211,1.5782,1.6042,2017-11-22 11:59:59.999,250
2017-11-22 12:00:00,1.6002,1.6087,1.5588,1.5912,2017-11-22 17:59:59.999,324
2017-11-22 18:00:00,1.577,1.6207,1.5556,1.6158,2017-11-22 23:59:59.999,181
2017-11-23 00:00:00,1.6,1.618,1.56,1.5853,2017-11-23 05:59:59.999,276
2017-11-23 06:00:00,1.5724,1.6016,1.544,1.5658,2017-11-23 11:59:59.999,394
2017-11-23 12:00:00,1.5658,1.5911,1.545,1.561,2017-11-23 17:59:59.999,246
2017-11-23 18:00:00,1.561,1.57,1.5388,1.57,2017-11-23 23:59:59.999,160
2017-11-24 00:00:00,1.5644,1.5976,1.55,1.5786,2017-11-24 05:59:59.999,430
2017-11-24 06:00:00,1.5786,1.8187,1.54,1.6869,2017-11-24 11:59:59.999,1427
2017-11-24 12:00:00,1.6811,1.7182,1.6435,1.6799,2017-11-24 17:59:59.999,725
2017-11-24 18:00:00,1.6799,1.7292,1.64,1.7292,2017-11-24 23:59:59.999,331
2017-11-25 00:00:00,1.712,1.8474,1.68,1.8038,2017-11-25 05:59:59.999,568
2017-11-25 06:00:00,1.81,1.9588,1.68,1.7661,2017-11-25 11:59:59.999,894
2017-11-25 12:00:00,1.7918,1.82,1.742,1.7744,2017-11-25 17:59:59.999,405
2017-11-25 18:00:00,1.7744,1.8888,1.7676,1.87,2017-11-25 23:59:59.999,215
2017-11-26 00:00:00,1.85,1.91,1.8311,1.91,2017-11-26 05:59:59.999,386
2017-11-26 06:00:00,1.9099,1.91,1.8307,1.8888,2017-11-26 11:59:59.999,210
2017-11-26 12:00:00,1.8692,1.9051,1.85,1.898,2017-11-26 17:59:59.999,296
2017-11-26 18:00:00,1.8952,1.8952,1.76,1.8388,2017-11-26 23:59:59.999,266
2017-11-27 00:00:00,1.8388,1.9087,1.7968,1.8139,2017-11-27 05:59:59.999,559
2017-11-27 06:00:00,1.8139,1.8399,1.74,1.782,2017-11-27 11:59:59.999,766
2017-11-27 12:00:00,1.782,1.8518,1.7689,1.8518,2017-11-27 17:59:59.999,384
2017-11-27 18:00:00,1.8559,1.9532,1.8292,1.9532,2017-11-27 23:59:59.999,435
2017-11-28 00:00:00,1.945,1.9532,1.801,1.8617,2017-11-28 05:59:59.999,332
2017-11-28 06:00:00,1.8617,1.9308,1.8546,1.9016,2017-11-28 11:59:59.999,264
2017-11-28 12:00:00,1.9208,1.9229,1.82,1.8912,2017-11-28 17:59:59.999,460
2017-11-28 18:00:00,1.8871,1.925,1.8615,1.9249,2017-11-28 23:59:59.999,189
2017-11-29 00:00:00,1.9248,1.9298,1.7883,1.8101,2017-11-29 05:59:59.999,689
2017-11-29 06:00:00,1.814,2.02,1.8101,1.965,2017-11-29 11:59:59.999,706
2017-11-29 12:00:00,1.9651,2.0486,1.8288,1.8878,2017-11-29 17:59:59.999,818
2017-11-29 18:00:00,1.9059,1.95,1.55,1.7565,2017-11-29 23:59:59.999,2837
2017-11-30 00:00:00,1.7641,2.038,1.7303,1.988,2017-11-30 05:59:59.999,1206
2017-11-30 06:00:00,1.988,1.988,1.84,1.8958,2017-11-30 11:59:59.999,777
2017-11-30 12:00:00,1.9154,1.9299,1.71,1.825,2017-11-30 17:59:59.999,1179
2017-11-30 18:00:00,1.825,1.95,1.76,1.95,2017-11-30 23:59:59.999,826
2017-12-01 00:00:00,1.95,2.01,1.8801,1.9323,2017-12-01 05:59:59.999,630
2017-12-01 06:00:00,1.932,2.0296,1.9003,2.025,2017-12-01 11:59:59.999,322
2017-12-01 12:00:00,2.025,2.1385,1.9845,2.0343,2017-12-01 17:59:59.999,951
2017-12-01 18:00:00,2.0343,2.0993,2.0151,2.0527,2017-12-01 23:59:59.999,404
2017-12-02 00:00:00,2.0526,2.1199,2.0033,2.0697,2017-12-02 05:59:59.999,541
2017-12-02 06:00:00,2.0697,2.0965,2.0004,2.08,2017-12-02 11:59:59.999,487
2017-12-02 12:00:00,2.08,2.08,1.975,2.0301,2017-12-02 17:59:59.999,548
2017-12-02 18:00:00,2.045,2.0798,2.0228,2.0797,2017-12-02 23:59:59.999,200
2017-12-03 00:00:00,2.0797,2.1092,2.0438,2.1091,2017-12-03 05:59:59.999,577
2017-12-03 06:00:00,2.109,2.1899,2.079,2.182,2017-12-03 11:59:59.999,682
2017-12-03 12:00:00,2.1777,2.4,2.13,2.295,2017-12-03 17:59:59.999,1612
2017-12-03 18:00:00,2.295,2.3721,2.13,2.2617,2017-12-03 23:59:59.999,1057
2017-12-04 00:00:00,2.2617,2.539,2.2617,2.51,2017-12-04 05:59:59.999,1227
2017-12-04 06:00:00,2.51,2.5898,2.4,2.4159,2017-12-04 11:59:59.999,1117
2017-12-04 12:00:00,2.4247,2.4864,2.3285,2.4724,2017-12-04 17:59:59.999,1319
2017-12-04 18:00:00,2.4723,2.55,2.3988,2.55,2017-12-04 23:59:59.999,413
2017-12-05 00:00:00,2.5305,2.75,2.5,2.6628,2017-12-05 05:59:59.999,1293
2017-12-05 06:00:00,2.6623,2.68,2.52,2.5376,2017-12-05 11:59:59.999,758
2017-12-05 12:00:00,2.5574,2.67,2.518,2.5925,2017-12-05 17:59:59.999,883
2017-12-05 18:00:00,2.6037,2.6261,2.5333,2.612,2017-12-05 23:59:59.999,545
2017-12-06 00:00:00,2.6,2.8,2.5759,2.59,2017-12-06 05:59:59.999,1108
2017-12-06 06:00:00,2.601,2.6228,2.5,2.5605,2017-12-06 11:59:59.999,1106
2017-12-06 12:00:00,2.5605,2.6203,2.3272,2.4697,2017-12-06 17:59:59.999,907
2017-12-06 18:00:00,2.43,2.5499,2.37,2.5134,2017-12-06 23:59:59.999,632
2017-12-07 00:00:00,2.5393,2.5745,2.4001,2.53,2017-12-07 05:59:59.999,1075
2017-12-07 06:00:00,2.53,2.8,2.5287,2.7741,2017-12-07 11:59:59.999,1582
2017-12-07 12:00:00,2.7394,2.84,2.45,2.517,2017-12-07 17:59:59.999,1386
2017-12-07 18:00:00,2.517,2.7233,2.44,2.6625,2017-12-07 23:59:59.999,719
2017-12-08 00:00:00,2.6489,2.6666,2.3502,2.492,2017-12-08 05:59:59.999,2041
2017-12-08 06:00:00,2.5,2.5251,2.206,2.4467,2017-12-08 11:59:59.999,1762
2017-12-08 12:00:00,2.4467,2.7999,2.2851,2.7609,2017-12-08 17:59:59.999,2485
2017-12-08 18:00:00,2.7979,2.8,2.6704,2.79,2017-12-08 23:59:59.999,856
