open_time,open,high,low,close,close_time,number_of_trades
2017-08-17 00:00:00,4261.48,4328.69,4261.32,4315.32,2017-08-17 05:59:59.999,273
2017-08-17 06:00:00,4330.29,4485.39,4287.41,4427.3,2017-08-17 11:59:59.999,309
2017-08-17 12:00:00,4436.06,4485.39,4235.45,4289.24,2017-08-17 17:59:59.999,1448
2017-08-17 18:00:00,4289.24,4369.69,4200.74,4285.08,2017-08-17 23:59:59.999,1397
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4313.56,2017-08-18 05:59:59.999,1670
2017-08-18 06:00:00,4313.56,4371.52,4247.75,4340.31,2017-08-18 11:59:59.999,1381
2017-08-18 12:00:00,4320.52,4340.31,4066.53,4193.35,2017-08-18 17:59:59.999,1058
2017-08-18 18:00:00,4171.17,4297.75,3938.77,4108.37,2017-08-18 23:59:59.999,1124
2017-08-19 00:00:00,4108.37,4184.69,4027.83,4077.0,2017-08-19 05:59:59.999,749
2017-08-19 06:00:00,4077.0,4082.25,3850.0,3957.6,2017-08-19 11:59:59.999,810
2017-08-19 12:00:00,3945.12,4100.0,3928.89,4027.37,2017-08-19 17:59:59.999,384
2017-08-19 18:00:00,4013.69,4149.99,4013.69,4139.98,2017-08-19 23:59:59.999,210
2017-08-20 00:00:00,4120.98,4142.16,4044.0,4117.41,2017-08-20 05:59:59.999,185
2017-08-20 06:00:00,4117.41,4211.08,4032.62,4106.53,2017-08-20 11:59:59.999,437
2017-08-20 12:00:00,4106.53,4150.0,4063.35,4129.0,2017-08-20 17:59:59.999,445
2017-08-20 18:00:00,4129.32,4185.94,4069.13,4086.29,2017-08-20 23:59:59.999,1254
2017-08-21 00:00:00,4069.13,4119.62,4011.02,4016.9,2017-08-21 05:59:59.999,1446
2017-08-21 06:00:00,4011.04,4088.12,3953.4,4023.11,2017-08-21 11:59:59.999,1139
2017-08-21 12:00:00,4023.11,4029.06,3911.79,4016.2,2017-08-21 17:59:59.999,615
2017-08-21 18:00:00,3997.57,4070.49,3918.8,4016.0,2017-08-21 23:59:59.999,772
2017-08-22 00:00:00,4016.0,4016.0,3400.0,3626.99,2017-08-22 05:59:59.999,962
2017-08-22 06:00:00,3619.95,3920.31,3619.95,3866.48,2017-08-22 11:59:59.999,2170
2017-08-22 12:00:00,3866.48,3998.99,3786.81,3943.0,2017-08-22 17:59:59.999,1867
2017-08-22 18:00:00,3944.0,4104.82,3944.0,4040.0,2017-08-22 23:59:59.999,1495
2017-08-23 00:00:00,4040.0,4127.99,4013.89,4053.18,2017-08-23 05:59:59.999,1505
2017-08-23 06:00:00,4064.0,4242.32,4035.32,4237.99,2017-08-23 11:59:59.999,1656
2017-08-23 12:00:00,4205.98,4265.8,4150.65,4166.27,2017-08-23 17:59:59.999,4021
2017-08-23 18:00:00,4166.27,4191.71,4069.8,4114.01,2017-08-23 23:59:59.999,1447
2017-08-24 00:00:00,4147.0,4204.55,4085.01,4132.09,2017-08-24 05:59:59.999,1342
2017-08-24 06:00:00,4132.09,4250.94,4131.91,4202.0,2017-08-24 11:59:59.999,2064
2017-08-24 12:00:00,4211.78,4250.9,4136.33,4188.18,2017-08-24 17:59:59.999,1741
2017-08-24 18:00:00,4188.18,4371.68,4179.22,4316.01,2017-08-24 23:59:59.999,1100
2017-08-25 00:00:00,4316.01,4370.0,4281.04,4281.04,2017-08-25 05:59:59.999,1985
2017-08-25 06:00:00,4294.79,4361.28,4267.5,4361.27,2017-08-25 11:59:59.999,1145
2017-08-25 12:00:00,4361.27,4453.91,4261.13,4402.32,2017-08-25 17:59:59.999,2749
2017-08-25 18:00:00,4409.44,4449.44,4247.48,4280.68,2017-08-25 23:59:59.999,675
2017-08-26 00:00:00,4280.71,4319.67,4228.99,4295.75,2017-08-26 05:59:59.999,571
2017-08-26 06:00:00,4307.72,4319.7,4260.88,4288.72,2017-08-26 11:59:59.999,360
2017-08-26 12:00:00,4288.72,4306.74,4212.41,4255.19,2017-08-26 17:59:59.999,558
2017-08-26 18:00:00,4255.19,4367.0,4236.51,4337.44,2017-08-26 23:59:59.999,771
2017-08-27 00:00:00,4332.51,4400.0,4293.42,4320.52,2017-08-27 05:59:59.999,1062
2017-08-27 06:00:00,4314.9,4352.34,4285.56,4323.37,2017-08-27 11:59:59.999,1032
2017-08-27 12:00:00,4340.0,4370.92,4285.54,4340.0,2017-08-27 17:59:59.999,789
2017-08-27 18:00:00,4369.0,4386.79,4309.6,4310.01,2017-08-27 23:59:59.999,787
