open_time,open,high,low,close,close_time,number_of_trades
2017-08-17,301.13,312.18,298.0,302.0,2017-08-17 23:59:59.999,4522
2017-08-18,302.0,311.79,283.94,293.96,2017-08-18 23:59:59.999,5658
2017-08-19,293.31,299.9,278.0,290.91,2017-08-19 23:59:59.999,1795
2017-08-20,289.41,300.53,282.85,299.1,2017-08-20 23:59:59.999,2038
2017-08-21,299.1,346.52,294.6,323.29,2017-08-21 23:59:59.999,3925
2017-08-22,321.04,330.41,144.21,309.8,2017-08-22 23:59:59.999,6577
2017-08-23,312.25,324.99,309.41,315.74,2017-08-23 23:59:59.999,8540
2017-08-24,315.74,328.04,314.01,323.42,2017-08-24 23:59:59.999,6495
2017-08-25,323.42,338.28,323.42,327.24,2017-08-25 23:59:59.999,7452
2017-08-26,327.24,335.44,323.41,330.79,2017-08-26 23:59:59.999,4400
2017-08-27,332.18,348.13,330.73,348.13,2017-08-27 23:59:59.999,4973
2017-08-28,348.11,351.0,331.95,346.0,2017-08-28 23:59:59.999,4526
2017-08-29,347.0,377.6,346.0,374.7,2017-08-29 23:59:59.999,3265
2017-08-30,374.7,393.71,362.05,385.93,2017-08-30 23:59:59.999,4812
2017-08-31,384.64,389.36,377.78,384.79,2017-08-31 23:59:59.999,4574
2017-09-01,386.44,394.39,383.18,388.46,2017-09-01 23:59:59.999,4124
2017-09-02,388.58,394.32,320.08,343.14,2017-09-02 23:59:59.999,8217
2017-09-03,343.56,367.28,320.08,341.77,2017-09-03 23:59:59.999,6153
2017-09-04,339.29,344.55,267.94,283.77,2017-09-04 23:59:59.999,7403
2017-09-05,286.81,321.52,235.55,312.09,2017-09-05 23:59:59.999,8999
2017-09-06,313.29,336.34,312.09,335.0,2017-09-06 23:59:59.999,7089
2017-09-07,335.01,342.5,320.17,334.49,2017-09-07 23:59:59.999,2635
2017-09-08,334.49,335.1,272.0,302.99,2017-09-08 23:59:59.999,3227
2017-09-09,300.01,307.0,281.66,296.74,2017-09-09 23:59:59.999,1956
2017-09-10,296.72,302.78,261.03,293.5,2017-09-10 23:59:59.999,2494
2017-09-11,293.51,304.98,285.21,297.3,2017-09-11 23:59:59.999,3490
2017-09-12,297.78,316.46,286.01,293.96,2017-09-12 23:59:59.999,5279
2017-09-13,293.93,294.5,257.05,276.91,2017-09-13 23:59:59.999,4527
2017-09-14,275.76,283.77,215.0,215.21,2017-09-14 23:59:59.999,8166
2017-09-15,217.0,270.93,192.0,253.0,2017-09-15 23:59:59.999,9198
2017-09-16,255.99,271.81,235.51,249.31,2017-09-16 23:59:59.999,8859
2017-09-17,249.32,264.39,239.02,257.55,2017-09-17 23:59:59.999,5277
2017-09-18,257.53,306.22,257.11,294.57,2017-09-18 23:59:59.999,3440
2017-09-19,296.0,300.0,277.41,284.0,2017-09-19 23:59:59.999,1896
2017-09-20,284.01,294.0,275.91,282.0,2017-09-20 23:59:59.999,1431
2017-09-21,285.1,287.0,252.1,257.0,2017-09-21 23:59:59.999,2751
2017-09-22,258.0,272.97,253.01,264.0,2017-09-22 23:59:59.999,2144
2017-09-23,259.99,286.23,255.11,285.93,2017-09-23 23:59:59.999,3901
2017-09-24,286.5,294.61,275.0,282.0,2017-09-24 23:59:59.999,8022
2017-09-25,282.0,299.0,281.34,294.42,2017-09-25 23:59:59.999,9165
2017-09-26,294.42,296.81,286.24,287.9,2017-09-26 23:59:59.999,7329
2017-09-27,289.91,313.0,286.13,309.74,2017-09-27 23:59:59.999,8208
2017-09-28,309.81,311.81,296.89,302.44,2017-09-28 23:59:59.999,10534
2017-09-29,302.44,303.0,274.0,292.22,2017-09-29 23:59:59.999,13098
2017-09-30,292.62,307.49,292.22,304.36,2017-09-30 23:59:59.999,8168
2017-10-01,305.13,306.0,294.0,303.95,2017-10-01 23:59:59.999,8900
2017-10-02,303.94,305.0,295.0,296.5,2017-10-02 23:59:59.999,7454
2017-10-03,298.15,301.99,283.18,292.48,2017-10-03 23:59:59.999,9327
2017-10-04,292.47,297.97,288.0,291.99,2017-10-04 23:59:59.999,7233
2017-10-05,290.0,297.44,285.53,294.81,2017-10-05 23:59:59.999,6125
2017-10-06,294.78,310.8,293.78,310.8,2017-10-06 23:59:59.999,6064
2017-10-07,309.9,318.5,303.6,311.01,2017-10-07 23:59:59.999,4289
2017-10-08,311.08,317.07,309.0,311.07,2017-10-08 23:59:59.999,6247
2017-10-09,311.13,312.13,286.65,297.19,2017-10-09 23:59:59.999,8680
2017-10-10,297.35,308.56,293.0,298.64,2017-10-10 23:59:59.999,9392
2017-10-11,300.88,305.5,298.02,304.01,2017-10-11 23:59:59.999,4079
2017-10-12,304.01,310.0,302.71,303.99,2017-10-12 23:59:59.999,4956
2017-10-13,303.52,353.96,297.0,337.96,2017-10-13 23:59:59.999,9898
2017-10-14,337.96,349.8,335.0,342.0,2017-10-14 23:59:59.999,5703
2017-10-15,342.0,348.0,316.17,337.96,2017-10-15 23:59:59.999,6822
2017-10-16,337.5,354.0,332.78,335.19,2017-10-16 23:59:59.999,6586
2017-10-17,335.18,336.58,312.65,315.19,2017-10-17 23:59:59.999,6837
2017-10-18,315.19,318.0,284.68,309.7,2017-10-18 23:59:59.999,9801
2017-10-19,311.52,315.0,300.0,308.66,2017-10-19 23:59:59.999,6769
2017-10-20,308.66,311.18,302.0,304.51,2017-10-20 23:59:59.999,6812
2017-10-21,304.51,305.34,290.0,298.94,2017-10-21 23:59:59.999,6343
2017-10-22,298.99,306.99,290.0,293.79,2017-10-22 23:59:59.999,5828
2017-10-23,293.78,294.6,272.2,281.09,2017-10-23 23:59:59.999,6524
2017-10-24,282.27,310.0,275.5,297.38,2017-10-24 23:59:59.999,8026
2017-10-25,295.43,300.0,281.0,294.49,2017-10-25 23:59:59.999,6796
2017-10-26,294.1,299.76,291.03,294.71,2017-10-26 23:59:59.999,6557
2017-10-27,294.72,298.1,292.03,296.33,2017-10-27 23:59:59.999,5899
2017-10-28,296.14,297.0,290.1,291.87,2017-10-28 23:59:59.999,5589
2017-10-29,291.86,309.4,291.86,305.0,2017-10-29 23:59:59.999,6947
2017-10-30,305.0,316.0,302.1,307.25,2017-10-30 23:59:59.999,6421
2017-10-31,305.95,309.99,304.01,304.9,2017-10-31 23:59:59.999,7744
2017-11-01,304.89,305.9,286.34,287.01,2017-11-01 23:59:59.999,12038
2017-11-02,287.3,293.0,274.73,283.12,2017-11-02 23:59:59.999,13600
2017-11-03,283.12,307.0,282.0,304.08,2017-11-03 23:59:59.999,8973
2017-11-04,304.09,304.99,292.11,298.04,2017-11-04 23:59:59.999,9036
2017-11-05,298.1,302.14,293.13,295.53,2017-11-05 23:59:59.999,7513
2017-11-06,295.19,305.58,290.11,297.97,2017-11-06 23:59:59.999,7898
2017-11-07,297.25,303.52,287.0,291.78,2017-11-07 23:59:59.999,8788
2017-11-08,291.31,320.0,290.02,303.02,2017-11-08 23:59:59.999,14402
2017-11-09,303.6,329.0,299.5,317.87,2017-11-09 23:59:59.999,8208
2017-11-10,318.5,322.65,285.82,293.5,2017-11-10 23:59:59.999,9253
2017-11-11,293.52,318.0,291.91,310.02,2017-11-11 23:59:59.999,8646
2017-11-12,310.87,316.99,281.01,305.24,2017-11-12 23:59:59.999,13661
2017-11-13,304.0,318.88,303.7,312.99,2017-11-13 23:59:59.999,9066
2017-11-14,313.0,337.54,312.94,335.61,2017-11-14 23:59:59.999,11711
2017-11-15,335.6,339.0,324.0,331.33,2017-11-15 23:59:59.999,10036
2017-11-16,330.98,334.75,321.41,331.49,2017-11-16 23:59:59.999,9493
2017-11-17,331.49,334.6,323.84,331.23,2017-11-17 23:59:59.999,11548
2017-11-18,331.2,349.9,326.01,346.66,2017-11-18 23:59:59.999,10690
2017-11-19,346.66,373.56,343.07,354.15,2017-11-19 23:59:59.999,10509
2017-11-20,355.15,372.5,353.9,367.42,2017-11-20 23:59:59.999,11553
2017-11-21,367.42,375.5,350.02,362.12,2017-11-21 23:59:59.999,14762
2017-11-22,362.12,384.84,359.0,380.65,2017-11-22 23:59:59.999,10386
2017-11-23,380.63,425.0,370.02,405.0,2017-11-23 23:59:59.999,12731
