open_time,open,high,low,close,close_time,number_of_trades
2017-08-17 00:00:00,301.13,303.28,298.0,303.1,2017-08-17 05:59:59.999,331
2017-08-17 06:00:00,302.4,312.0,301.9,308.95,2017-08-17 11:59:59.999,1155
2017-08-17 12:00:00,308.95,312.18,298.21,308.33,2017-08-17 17:59:59.999,1740
2017-08-17 18:00:00,308.33,311.53,298.96,302.0,2017-08-17 23:59:59.999,1296
2017-08-18 00:00:00,302.0,306.47,295.19,304.7,2017-08-18 05:59:59.999,1523
2017-08-18 06:00:00,304.7,311.79,303.21,307.78,2017-08-18 11:59:59.999,1388
2017-08-18 12:00:00,307.78,310.29,293.18,295.53,2017-08-18 17:59:59.999,1280
2017-08-18 18:00:00,295.53,298.25,283.94,293.96,2017-08-18 23:59:59.999,1467
2017-08-19 00:00:00,293.31,299.9,291.87,293.23,2017-08-19 05:59:59.999,400
2017-08-19 06:00:00,293.69,295.56,278.0,282.58,2017-08-19 11:59:59.999,859
2017-08-19 12:00:00,281.39,293.15,279.56,293.15,2017-08-19 17:59:59.999,345
2017-08-19 18:00:00,294.33,295.0,288.8,290.91,2017-08-19 23:59:59.999,191
2017-08-20 00:00:00,289.41,293.15,285.39,292.17,2017-08-20 05:59:59.999,195
2017-08-20 06:00:00,292.17,296.89,282.85,295.0,2017-08-20 11:59:59.999,515
2017-08-20 12:00:00,295.0,298.79,292.28,296.88,2017-08-20 17:59:59.999,293
2017-08-20 18:00:00,296.88,300.53,294.51,299.1,2017-08-20 23:59:59.999,1035
2017-08-21 00:00:00,299.1,314.28,294.6,314.05,2017-08-21 05:59:59.999,1068
2017-08-21 06:00:00,314.05,333.66,312.6,331.53,2017-08-21 11:59:59.999,856
2017-08-21 12:00:00,331.33,346.52,325.42,332.33,2017-08-21 17:59:59.999,1149
2017-08-21 18:00:00,332.12,333.63,316.12,323.29,2017-08-21 23:59:59.999,852
2017-08-22 00:00:00,321.04,330.41,144.21,279.96,2017-08-22 05:59:59.999,933
2017-08-22 06:00:00,302.99,313.16,285.69,308.03,2017-08-22 11:59:59.999,2047
2017-08-22 12:00:00,311.16,320.76,301.48,312.07,2017-08-22 17:59:59.999,2072
2017-08-22 18:00:00,313.99,315.25,305.08,309.8,2017-08-22 23:59:59.999,1525
2017-08-23 00:00:00,312.25,324.99,309.41,316.74,2017-08-23 05:59:59.999,1494
2017-08-23 06:00:00,316.74,324.51,315.35,319.2,2017-08-23 11:59:59.999,1665
2017-08-23 12:00:00,319.2,322.0,313.75,318.47,2017-08-23 17:59:59.999,4006
2017-08-23 18:00:00,318.48,322.34,312.05,315.74,2017-08-23 23:59:59.999,1375
2017-08-24 00:00:00,315.74,322.36,314.01,318.0,2017-08-24 05:59:59.999,1404
2017-08-24 06:00:00,319.57,323.61,316.14,323.61,2017-08-24 11:59:59.999,2060
2017-08-24 12:00:00,322.51,328.04,317.9,322.45,2017-08-24 17:59:59.999,1809
2017-08-24 18:00:00,322.45,326.33,318.97,323.42,2017-08-24 23:59:59.999,1222
2017-08-25 00:00:00,323.42,335.0,323.42,331.73,2017-08-25 05:59:59.999,2087
2017-08-25 06:00:00,331.74,335.41,327.4,331.26,2017-08-25 11:59:59.999,1427
2017-08-25 12:00:00,329.68,338.28,328.72,332.01,2017-08-25 17:59:59.999,2880
2017-08-25 18:00:00,333.2,336.49,324.9,327.24,2017-08-25 23:59:59.999,1058
2017-08-26 00:00:00,327.24,332.27,323.41,326.23,2017-08-26 05:59:59.999,1015
2017-08-26 06:00:00,325.23,331.25,324.06,327.89,2017-08-26 11:59:59.999,1110
2017-08-26 12:00:00,328.25,335.44,324.06,331.04,2017-08-26 17:59:59.999,1163
2017-08-26 18:00:00,327.38,334.17,327.03,330.79,2017-08-26 23:59:59.999,1112
2017-08-27 00:00:00,332.18,338.29,330.79,335.0,2017-08-27 05:59:59.999,1584
2017-08-27 06:00:00,332.75,338.42,330.73,333.94,2017-08-27 11:59:59.999,1379
2017-08-27 12:00:00,333.93,339.14,331.88,337.56,2017-08-27 17:59:59.999,1102
2017-08-27 18:00:00,339.89,348.13,336.02,348.13,2017-08-27 23:59:59.999,908
2017-08-28 00:00:00,348.11,351.0,331.95,336.01,2017-08-28 05:59:59.999,1558
2017-08-28 06:00:00,337.19,342.86,336.01,341.9,2017-08-28 11:59:59.999,1028
2017-08-28 12:00:00,339.62,347.41,339.34,340.49,2017-08-28 17:59:59.999,1145
2017-08-28 18:00:00,341.84,348.5,341.77,346.0,2017-08-28 23:59:59.999,795
2017-08-29 00:00:00,347.0,355.0,346.0,355.0,2017-08-29 05:59:59.999,505
2017-08-29 06:00:00,355.0,367.13,350.72,356.75,2017-08-29 11:59:59.999,970
2017-08-29 12:00:00,358.1,373.66,358.1,370.43,2017-08-29 17:59:59.999,1006
2017-08-29 18:00:00,372.6,377.6,365.65,374.7,2017-08-29 23:59:59.999,784
2017-08-30 00:00:00,374.7,381.13,367.37,381.13,2017-08-30 05:59:59.999,734
2017-08-30 06:00:00,380.81,393.71,362.05,375.9,2017-08-30 11:59:59.999,1624
2017-08-30 12:00:00,373.01,386.96,370.49,384.95,2017-08-30 17:59:59.999,1562
2017-08-30 18:00:00,383.76,389.8,380.74,385.93,2017-08-30 23:59:59.999,892
2017-08-31 00:00:00,384.64,385.94,377.78,382.16,2017-08-31 05:59:59.999,1154
2017-08-31 06:00:00,383.27,387.42,378.85,387.42,2017-08-31 11:59:59.999,836
2017-08-31 12:00:00,385.82,389.36,383.13,385.67,2017-08-31 17:59:59.999,1407
2017-08-31 18:00:00,384.51,388.25,383.13,384.79,2017-08-31 23:59:59.999,1177
2017-09-01 00:00:00,386.44,394.39,384.79,384.88,2017-09-01 05:59:59.999,1078
2017-09-01 06:00:00,386.7,393.08,383.18,389.64,2017-09-01 11:59:59.999,1082
2017-09-01 12:00:00,389.56,392.3,385.88,392.29,2017-09-01 17:59:59.999,1195
2017-09-01 18:00:00,392.29,394.02,387.11,388.46,2017-09-01 23:59:59.999,769
2017-09-02 00:00:00,388.58,394.32,347.61,347.61,2017-09-02 05:59:59.999,1858
